weight,bandwidth,rng,res,h0_rank,h0_r2,h1_rank,h1_r2
const,1.0,shared 1.25,10,1,0.2721061007262415,1,0.1657489914590549
const,0.25,shared 1.25,10,6,0.44613949388615576,4,0.10446565945654814
const,0.125,shared 1.25,10,13,0.48758031554900616,9,0.045564614908668
const,0.05,shared 1.25,10,37,0.45445091250289354,17,-0.03760732521622153
const,0.025,shared 1.25,10,47,0.4808973406355929,20,-0.06866297917652808
const,1.0,perdim,10,1,0.2721061007262415,1,0.2085445665096881
const,0.25,perdim,10,6,0.44613949388615576,2,0.17437485131304564
const,0.125,perdim,10,13,0.48758031554900616,4,0.13443704524363784
const,0.05,perdim,10,37,0.45445091250289354,8,0.06521813677732761
const,0.025,perdim,10,47,0.4808973406355929,13,0.05657900547872763
const,1.0,perdim tight,10,1,0.27683076888939623,1,0.2085445665096881
const,0.25,perdim tight,10,6,0.4365891261559495,2,0.17437485131304564
const,0.125,perdim tight,10,13,0.5144393345701651,4,0.13443704524363784
const,0.05,perdim tight,10,42,0.5580709369592171,8,0.06521813677732761
const,0.025,perdim tight,10,57,0.5373343267933874,13,0.05657900547872763
linear,1.0,shared 1.25,10,2,0.43165470196387173,1,0.11141345578305022
linear,0.25,shared 1.25,10,6,0.48175751206986256,5,0.08461753487967531
linear,0.125,shared 1.25,10,14,0.5229749872989974,10,0.03151160629263957
linear,0.05,shared 1.25,10,37,0.4920169389904017,18,-0.05374971848587484
linear,0.025,shared 1.25,10,47,0.4772979612854204,20,-0.06653043390743545
linear,1.0,perdim,10,2,0.43165470196387173,1,0.14909607783968185
linear,0.25,perdim,10,6,0.48175751206986256,2,0.18710178040902506
linear,0.125,perdim,10,14,0.5229749872989974,4,0.18403515258042016
linear,0.05,perdim,10,37,0.4920169389904017,9,0.06433361640496149
linear,0.025,perdim,10,47,0.4772979612854204,14,0.06934638109729396
linear,1.0,perdim tight,10,2,0.437489472813595,1,0.14909607783968185
linear,0.25,perdim tight,10,6,0.46897525932542355,2,0.18710178040902506
linear,0.125,perdim tight,10,13,0.5400728233843356,4,0.18403515258042016
linear,0.05,perdim tight,10,42,0.5649523347728663,9,0.06433361640496149
linear,0.025,perdim tight,10,57,0.5399305350074847,14,0.06934638109729396
const,1.0,shared 1.25,20,1,0.28279611433078133,1,0.16176266609769377
const,0.25,shared 1.25,20,6,0.4514556176138836,4,0.11332583376689931
const,0.125,shared 1.25,20,13,0.4956672909240282,9,0.03385455050014526
const,0.05,shared 1.25,20,49,0.49095831065456963,18,-0.04779926249362169
const,0.025,shared 1.25,20,61,0.46164135334947004,25,-0.08474077881344082
const,1.0,perdim,20,1,0.28279611433078133,1,0.20425864959933035
const,0.25,perdim,20,6,0.4514556176138836,2,0.16663049487191892
const,0.125,perdim,20,13,0.4956672909240282,4,0.15127415917283069
const,0.05,perdim,20,49,0.49095831065456963,8,0.05328701581575893
const,0.025,perdim,20,61,0.46164135334947004,19,0.05645694679137466
const,1.0,perdim tight,20,1,0.27619819680410096,1,0.20425864959933035
const,0.25,perdim tight,20,6,0.4424026873816218,2,0.16663049487191892
const,0.125,perdim tight,20,13,0.519647297906033,4,0.15127415917283069
const,0.05,perdim tight,20,51,0.5794044070254728,8,0.05328701581575893
const,0.025,perdim tight,20,61,0.5625605596389108,19,0.05645694679137466
linear,1.0,shared 1.25,20,2,0.4361660174845821,1,0.11212844886273743
linear,0.25,shared 1.25,20,6,0.4937213424663473,5,0.06896365274771392
linear,0.125,shared 1.25,20,13,0.5320157518772913,9,0.01743912175096766
linear,0.05,shared 1.25,20,50,0.5156804395532856,18,-0.04484016103020801
linear,0.025,shared 1.25,20,61,0.4535040469327487,25,-0.09029249636098687
linear,1.0,perdim,20,2,0.4361660174845821,1,0.15046420066299382
linear,0.25,perdim,20,6,0.4937213424663473,2,0.17430840753337193
linear,0.125,perdim,20,13,0.5320157518772913,4,0.1743152693022344
linear,0.05,perdim,20,50,0.5156804395532856,10,0.06304521057380845
linear,0.025,perdim,20,61,0.4535040469327487,21,0.09595565824695933
linear,1.0,perdim tight,20,2,0.43921194856798706,1,0.15046420066299382
linear,0.25,perdim tight,20,5,0.47204515509110195,2,0.17430840753337193
linear,0.125,perdim tight,20,13,0.5425845615550651,4,0.1743152693022344
linear,0.05,perdim tight,20,51,0.5845523031973197,10,0.06304521057380845
linear,0.025,perdim tight,20,61,0.5538509871572832,21,0.09595565824695933
